Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 12:34:07 PM,42003756,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761478949644408,4.2003756E7,0.0,4.2003756E7,4.2003756E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02380739474822204,0.02380739474822204,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,4.2003756E7,0.0,4.2003756E7,4.2003756E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 12:38:44 PM,106352686,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018805354854883494,1.06352686E8,0.0,1.06352686E8,1.06352686E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009402677427441747,0.009402677427441747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.06352686E8,0.0,1.06352686E8,1.06352686E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 12:41:25 PM,96501699,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020725023711758692,9.6501699E7,0.0,9.6501699E7,9.6501699E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010362511855879346,0.010362511855879346,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,9.6501699E7,0.0,9.6501699E7,9.6501699E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 12:58:41 PM,103629805,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028949200473744014,5.18149025E7,6.758780536626145E7,9.9606698E7,4023107.0,4023107.0,4023107.0,0.0,4023107.0,4023107.0,0,0,0,0,0,0,0,0,0,0,0,0.01929946698249601,0.009649733491248005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,9.9606698E7,0.0,9.9606698E7,9.9606698E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:01:37 PM,64333167,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06217632655951789,2.1444389E7,1.338914309461539E7,3.0217556E7,6033160.0,5.8300007E7,2.91500035E7,1509747.2240453037,3.0217556E7,2.8082451E7,0,0,0,0,0,0,0,0,0,0,0,0.04663224491963842,0.015544081639879472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,2.1444389E7,1.338914309461539E7,3.0217556E7,6033160.0,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:05:47 PM,115350180,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017338507837612392,1.1535018E8,0.0,1.1535018E8,1.1535018E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008669253918806196,0.008669253918806196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.1535018E8,0.0,1.1535018E8,1.1535018E8,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:10:31 PM,86701629,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023067617333925757,8.6701629E7,0.0,8.6701629E7,8.6701629E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011533808666962879,0.011533808666962879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,8.6701629E7,0.0,8.6701629E7,8.6701629E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:13:22 PM,79390826,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050383655159350525,2.6463608666666668E7,9330790.157072462,3.4174299E7,1.6091164E7,6.3299662E7,3.1649831E7,3570136.8833768824,3.4174299E7,2.9125363E7,0,0,0,0,0,0,0,0,0,0,0,0.03778774136951289,0.012595913789837631,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,2.6463608666666668E7,9330790.157072462,3.4174299E7,1.6091164E7,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:16:09 PM,86620248,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05772322425121664,2.1655062E7,9299672.155126868,2.9446014E7,9558861.0,5.7174234E7,1.9058078E7,9447745.652362103,2.8453497E7,9558861.0,0,0,0,0,0,0,0,0,0,0,0,0.046178579400973314,0.011544644850243329,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,2.1655062E7,9299672.155126868,2.9446014E7,9558861.0,No Label
162.83.218.216-192.168.1.1-0-0-0,162.83.218.216,0,192.168.1.1,0,0,13/05/2024 01:27:07 PM,55650598,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593851767774355,5.5650598E7,0.0,5.5650598E7,5.5650598E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017969258838871776,0.017969258838871776,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.5650598E7,0.0,5.5650598E7,5.5650598E7,No Label
